Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
IGL,EQ,5-Jan-16,519.25,521,577.3,520.15,550.3,556.45,550.63,2772832,1526804351,47300,637615,23
IGL,EQ,6-Jan-16,556.45,555.4,571.5,543.25,566,567.7,563.54,3710455,2090993848,71514,1402109,37.79
IGL,EQ,7-Jan-16,567.7,557,585,554.9,562,560.25,568.81,2951267,1678701545,73689,745828,25.27
IGL,EQ,8-Jan-16,560.25,572,573.25,562.15,569.65,565.05,566.8,818518,463933707.8,30241,247926,30.29
IGL,EQ,11-Jan-16,565.05,560,608,558.55,589.55,591.55,586.94,2721372,1597277671,51777,616312,22.65
IGL,EQ,12-Jan-16,591.55,595.95,600.95,574.6,578.5,577.7,587.05,2301990,1351383314,68652,574005,24.94
IGL,EQ,13-Jan-16,577.7,584.3,592,562.7,574.7,574.25,578.17,1832025,1059229845,54899,667389,36.43
IGL,EQ,14-Jan-16,574.25,571,579,555.1,559.3,558.65,567.41,1150031,652539059.6,27465,439414,38.21
IGL,EQ,15-Jan-16,558.65,562.8,568.95,547.55,554.55,551.65,560.98,793329,445038680.6,24583,240574,30.32
IGL,EQ,18-Jan-16,551.65,547,563.75,539.45,553,552.3,553.21,961147,531719405.7,34125,323749,33.68
IGL,EQ,19-Jan-16,552.3,557,561.35,539.05,555,552.65,551.77,683949,377383074,14192,192302,28.12
IGL,EQ,20-Jan-16,552.65,549.8,560.8,542.2,548.5,548.85,550.84,553693,304994069.8,17409,121442,21.93
IGL,EQ,21-Jan-16,548.85,553.9,558.4,545.1,545.7,546.7,551.02,411496,226743134,11893,149306,36.28
IGL,EQ,22-Jan-16,546.7,554.9,574.6,548.4,572,570.2,566.04,1227443,694780158.4,31933,378900,30.87
IGL,EQ,25-Jan-16,570.2,582.2,589.4,575.2,581.1,582.5,584.2,1137450,664494870.8,24669,454220,39.93
IGL,EQ,27-Jan-16,582.5,588,588,571,574.7,574.2,578.82,679529,393324148.6,19933,239488,35.24
IGL,EQ,28-Jan-16,574.2,577.7,579,555.65,564,563.7,567.12,1183023,670919216.9,18422,595355,50.32
IGL,EQ,29-Jan-16,563.7,568,568,517.25,559.5,559.85,543.27,2973599,1615472027,51191,755032,25.39
IGL,EQ,1-Feb-16,559.85,558.55,571.4,550.2,563.95,563.9,564.19,495556,279589294.3,13566,167916,33.88
IGL,EQ,2-Feb-16,563.9,564.6,573,559.3,569.4,567.05,567.42,514265,291805420.4,16074,191926,37.32
IGL,EQ,3-Feb-16,567.05,565.65,570,555.6,557.15,557.65,561.14,417164,234087139.6,15347,99353,23.82
IGL,EQ,4-Feb-16,557.65,561.95,563.95,541.55,551,550.3,553.15,351393,194372057.4,10414,91598,26.07
IGL,EQ,5-Feb-16,550.3,552.7,559.45,542.05,551.4,552,552.3,427869,236310474.8,13867,200045,46.75
IGL,EQ,8-Feb-16,552,553,555.3,542.15,545,544.8,547.24,652257,356944016.7,13666,346372,53.1
IGL,EQ,9-Feb-16,544.8,533,548.4,533,541.4,542.45,543.27,387298,210406718.3,14292,109626,28.31
IGL,EQ,10-Feb-16,542.45,538,547,533.05,544.9,540.8,539.65,552498,298156985.1,12392,237386,42.97
IGL,EQ,11-Feb-16,540.8,544.8,547.75,516.45,526.25,527.4,533.1,631513,336661997.3,19439,134957,21.37
IGL,EQ,12-Feb-16,527.4,521.5,531.25,507,523,522.95,517.92,831437,430620922.3,30077,283393,34.08
IGL,EQ,15-Feb-16,522.95,525.25,549,523.7,541,540.1,539.96,462705,249841777,16836,149886,32.39
IGL,EQ,16-Feb-16,540.1,542,545.4,528.5,532.75,532.85,535.57,524844,281091275.2,20543,130258,24.82
IGL,EQ,17-Feb-16,532.85,533,534.9,520,534.9,530.95,526.38,400304,210710836.9,23330,150801,37.67
IGL,EQ,18-Feb-16,530.95,536,546.5,531.8,540,538.9,539.64,346060,186748918,20282,135193,39.07
IGL,EQ,19-Feb-16,538.9,540.4,541.5,518,527,525.4,525.95,554643,291714778.3,31196,182191,32.85
IGL,EQ,22-Feb-16,525.4,526.9,533.8,522.7,528.85,530.3,528.87,333392,176320665.3,14485,95559,28.66
IGL,EQ,23-Feb-16,530.3,532,533,522.45,529,526.25,526.27,350476,184443368.4,12396,153403,43.77
IGL,EQ,24-Feb-16,526.25,528.2,529.95,506.05,507.05,509.35,515.9,861596,444494129.2,36653,378084,43.88
IGL,EQ,25-Feb-16,509.35,510.15,510.15,483.95,495,489.4,495.85,1153919,572166523.5,31772,745886,64.64
IGL,EQ,26-Feb-16,489.4,495.9,519.1,490,517.1,516.1,506.67,635381,321929948.8,16725,226770,35.69
IGL,EQ,29-Feb-16,516.1,518,526.3,493,509.25,508.35,511.59,719769,368227051.4,19807,175673,24.41
IGL,EQ,1-Mar-16,508.35,510.5,533.9,509.85,530.25,532.25,524.19,539708,282909881.5,15749,230365,42.68
IGL,EQ,2-Mar-16,532.25,535.15,548.2,526.15,526.4,528.2,539.92,446200,240910243.9,16203,187768,42.08
IGL,EQ,3-Mar-16,528.2,531.2,539.9,529,536,536.15,536.16,321193,172211349.5,11422,125267,39
IGL,EQ,4-Mar-16,536.15,538.7,545,530.7,532,533.7,538.5,212860,114624568.3,7570,43322,20.35
IGL,EQ,8-Mar-16,533.7,537.5,539,522,522.7,524.1,528.22,304423,160801325.3,16866,129877,42.66
IGL,EQ,9-Mar-16,524.1,520.45,537,518.55,536,533.2,528.97,241348,127665274,8876,72594,30.08
IGL,EQ,10-Mar-16,533.2,538.2,550,527.1,539.8,539.45,539.8,674600,364151772.9,21194,149192,22.12
IGL,EQ,11-Mar-16,539.45,541,543.3,526.85,529.2,529.1,531.86,366793,195081996.6,11892,111059,30.28
IGL,EQ,14-Mar-16,529.1,532,534.55,520,521,523.2,527.48,389865,205646480.4,14037,134085,34.39
IGL,EQ,15-Mar-16,523.2,524.1,524.1,507.5,520.6,517.5,516.24,627152,323763440.7,16654,310278,49.47
IGL,EQ,16-Mar-16,517.5,520,521.85,510.55,516,516.4,515.43,231815,119483719.1,9881,90656,39.11
IGL,EQ,17-Mar-16,516.4,520,530.45,515.05,522,522.05,523.23,491720,257280974.1,19632,147518,30
IGL,EQ,18-Mar-16,522.05,522.05,524.85,512.4,521,520.2,519.72,633607,329299592.9,14453,365456,57.68
IGL,EQ,21-Mar-16,520.2,516.1,540,516.1,537,534.95,530.02,613199,325008146.7,18034,367232,59.89
IGL,EQ,22-Mar-16,534.95,534,554.8,531.6,543.5,544.65,545.05,637054,347228802.8,14123,120238,18.87
IGL,EQ,23-Mar-16,544.65,546,555.6,539.6,550.85,552.25,551.35,564925,311470559,19440,236596,41.88
IGL,EQ,28-Mar-16,552.25,560,560.2,539.4,545.5,542.15,550.07,485543,267082133.6,14732,142733,29.4
IGL,EQ,29-Mar-16,542.15,549.9,551.2,539.4,542.6,543.4,544.71,386048,210285568.4,9662,99187,25.69
IGL,EQ,30-Mar-16,543.4,548.9,554.1,546,549.6,550.7,550.61,473093,260490454.8,12285,263372,55.67
IGL,EQ,31-Mar-16,550.7,556,575.95,551.2,565.2,569.6,564.04,994392,560874041.7,30011,593728,59.71
IGL,EQ,1-Apr-16,569.6,567.3,584.2,560.1,564.95,563.6,573.5,512451,293888087.2,17813,218096,42.56
IGL,EQ,4-Apr-16,563.6,565,574.6,563.15,564.4,565.05,568.87,284234,161691919.8,7706,152287,53.58
IGL,EQ,5-Apr-16,565.05,565,571.75,558.25,558.5,561.25,565.07,243184,137415876.2,9834,93193,38.32
IGL,EQ,6-Apr-16,561.25,561.25,563.75,550.15,551.3,551.7,553.72,351452,194605529.3,18748,210576,59.92
IGL,EQ,7-Apr-16,551.7,551.9,552.65,537.4,537.4,539.75,544.2,277862,151211806.4,9763,116003,41.75
IGL,EQ,8-Apr-16,539.75,537,549.75,537,548.05,546.35,545.22,260431,141992431.3,9616,86620,33.26
IGL,EQ,11-Apr-16,546.35,546.55,555.5,546.35,553.25,552.3,552.93,159558,88224379.35,4923,44018,27.59
IGL,EQ,12-Apr-16,552.3,552.9,562.8,551,559.15,560.4,557.36,208952,116462270.6,9940,47971,22.96
IGL,EQ,13-Apr-16,560.4,570,575.95,560.1,573.85,574.35,572.46,396815,227160204.7,16383,183344,46.2
IGL,EQ,18-Apr-16,574.35,575.95,578.6,564.7,565,566.25,568.82,136958,77903962.8,7513,34452,25.16
IGL,EQ,20-Apr-16,566.25,567,584,562.9,571,571.9,572.98,816459,467811813.8,25287,250732,30.71
IGL,EQ,21-Apr-16,571.9,575,578,564.3,570.5,573.35,571.34,439475,251090351,12248,159514,36.3
IGL,EQ,22-Apr-16,573.35,579,594.5,572.35,579.7,578.25,584.32,1335729,780488132.8,24395,405406,30.35
IGL,EQ,25-Apr-16,578.25,575,577.8,564,566,567.2,569.69,346598,197452362.6,17585,127144,36.68
IGL,EQ,26-Apr-16,567.2,567.45,575.25,563.2,573,572.55,573.11,224528,128679989.5,5857,71578,31.88
IGL,EQ,27-Apr-16,572.55,570.05,575.5,568.15,571.3,572,573.05,306965,175906817.6,8758,137685,44.85
